fixture_id,home_XGoals,away_XGoals,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_shots,away_shots,home_shots_on_goal,away_shots_on_goal,home_gk_saves,away_gk_saves,home_possession,away_possession,home_pass_accuracy,away_pass_accuracy,home_offsides,away_offsides,home_fouls,away_fouls
1208059,0.71,0.74,7,6,5,3,15,7,5,4,3,5,64%,36%,88%,76%,2,3,13,10
1208060,1.23,1.52,4,7,3,3,12,14,5,6,4,4,49%,51%,84%,88%,3,2,17,6
1208070,0.85,2.19,6,5,5,2,15,12,7,5,2,7,53%,47%,89%,87%,2,1,17,9
1208064,2.29,1.54,6,0,6,0,22,16,11,5,4,8,39%,61%,82%,90%,1,6,16,8
1208066,2.06,1.08,3,9,1,4,19,19,13,6,7,9,59%,41%,89%,85%,0,3,10,12
1208068,2.49,1.69,2,10,4,4,11,13,3,6,5,2,54%,46%,87%,86%,3,1,16,16
1208065,0.66,1.1,6,1,1,2,12,17,2,5,4,1,59%,41%,85%,81%,2,5,11,12
1208069,3.52,0.8,9,4,3,1,23,6,10,6,5,6,48%,52%,82%,80%,1,2,11,9
1208061,1.73,0.51,6,5,3,6,9,10,4,4,3,0,53%,47%,88%,86%,1,5,11,16
1208063,1.01,1.7,4,11,3,2,9,15,4,6,7,4,33%,67%,71%,86%,1,0,7,12
1208062,1.0,1.42,9,1,3,6,14,4,3,3,2,1,70%,30%,88%,69%,0,4,12,11
1208067,2.18,0.67,8,2,3,6,33,5,11,3,1,9,77%,23%,91%,71%,0,1,7,10
1208078,1.57,0.91,5,6,4,4,11,16,4,6,5,3,38%,62%,79%,88%,1,0,14,10
1208072,4.62,0.32,17,0,2,4,36,5,16,3,1,13,75%,25%,89%,74%,0,1,11,6
1208075,0.89,0.95,5,8,2,0,8,17,2,5,3,0,40%,60%,75%,81%,2,0,13,11
1208074,4.16,1.11,8,2,3,2,15,15,7,5,4,2,41%,59%,77%,86%,6,2,11,8
1208073,0.37,0.99,7,6,2,3,8,19,3,3,2,2,57%,43%,80%,79%,1,2,2,11
1208079,0.8,1.33,6,5,2,4,11,14,1,2,1,1,41%,59%,79%,87%,7,1,11,15
1208080,0.63,2.54,2,10,2,3,8,10,3,6,4,2,45%,55%,84%,85%,1,2,16,8
1208076,1.18,0.82,10,0,4,1,15,7,5,3,1,3,44%,56%,85%,89%,2,1,10,14
1208077,0.96,4.59,5,3,5,3,11,24,2,10,7,2,39%,61%,79%,88%,2,1,16,14
1208071,1.38,0.6,6,4,2,5,14,9,6,3,2,3,40%,60%,81%,86%,1,1,19,12
1208086,0.64,1.4,3,8,4,2,9,16,5,4,3,5,32%,68%,70%,86%,1,0,7,15
1208081,2.83,0.65,13,1,0,3,29,8,6,2,1,3,59%,41%,90%,85%,1,0,10,9
1208088,0.79,2.16,0,9,4,1,6,19,2,2,2,1,44%,56%,76%,82%,2,1,12,14
1208090,3.79,0.65,5,5,0,1,23,9,13,2,2,8,53%,47%,87%,84%,3,1,12,6
1208089,1.57,2.6,8,3,2,1,20,11,7,4,2,4,58%,42%,91%,87%,0,3,4,10
1208083,4.25,1.05,10,3,2,3,19,17,12,6,3,7,44%,56%,78%,79%,5,1,9,10
1208087,0.67,2.05,0,10,1,2,8,14,2,3,3,2,32%,68%,74%,86%,2,3,12,8
1208085,2.46,0.87,11,3,6,4,22,16,8,9,8,7,66%,34%,88%,76%,1,3,12,11
1208082,0.5,0.56,6,3,1,5,11,10,1,4,4,1,54%,46%,83%,82%,0,1,12,11
1208084,1.76,1.34,4,7,2,2,11,13,4,3,1,1,41%,59%,83%,88%,2,2,14,10
1208099,1.92,0.78,13,5,1,3,22,11,7,4,2,4,57%,43%,87%,81%,2,1,10,15
1208095,1.33,0.86,9,2,2,2,23,8,11,2,1,9,50%,50%,84%,85%,1,3,4,5
1208096,2.02,1.12,9,4,2,2,21,10,6,5,4,6,60%,40%,82%,79%,3,0,11,9
1208092,1.78,1.68,6,11,3,5,10,14,4,5,4,3,52%,48%,87%,88%,2,2,8,11
1208098,2.15,3.21,10,6,5,3,14,18,7,4,1,6,42%,58%,83%,85%,1,2,10,10
1208093,1.25,1.74,5,7,1,1,13,11,2,8,6,2,55%,45%,87%,79%,1,0,12,10
1208091,1.82,0.68,7,4,1,1,13,6,4,1,1,2,49%,51%,80%,79%,1,1,12,11
1208100,0.97,1.62,1,18,4,1,3,22,2,7,5,1,22%,78%,66%,90%,2,1,8,5
1208094,1.94,0.99,1,5,4,3,9,12,5,2,1,3,43%,57%,80%,88%,5,0,12,13
1208097,1.76,0.97,6,6,2,3,20,20,6,7,7,5,50%,50%,82%,80%,2,2,9,12
1208110,0.76,1.73,6,7,5,3,11,20,1,5,2,0,64%,36%,86%,76%,0,1,16,9
1208111,2.95,0.21,12,1,1,3,22,5,8,2,2,6,57%,43%,93%,91%,1,2,9,9
1208106,1.31,1.36,9,6,3,3,19,14,6,7,5,4,51%,49%,87%,82%,2,1,12,10
1208105,4.1,1.3,4,5,0,3,20,11,9,5,2,6,65%,35%,84%,72%,2,1,7,10
1208104,1.81,0.31,9,7,7,6,18,10,8,3,2,7,57%,43%,83%,83%,0,5,12,14
1208109,0.79,1.26,4,2,1,0,10,14,5,3,2,4,40%,60%,79%,86%,4,2,8,8
1208112,3.0,2.34,6,5,5,1,12,18,3,5,4,1,43%,57%,81%,84%,3,3,6,7
1208107,1.61,1.81,7,4,6,3,17,11,7,3,1,5,50%,50%,85%,80%,2,1,13,16
1208108,0.78,0.74,8,8,4,4,14,11,6,3,3,5,34%,66%,64%,81%,4,1,16,12
1208103,0.92,0.81,1,3,2,2,9,9,3,4,2,1,45%,55%,80%,83%,2,1,14,14
1208118,0.53,1.05,4,6,4,4,9,10,4,1,0,3,36%,64%,69%,86%,0,0,16,18
1208113,2.04,1.56,3,10,2,1,12,18,6,4,3,4,36%,64%,84%,90%,2,0,11,6
1208116,1.65,1.01,9,7,1,1,16,13,8,5,4,6,49%,51%,83%,87%,1,0,10,18
1208120,0.74,1.56,3,6,4,2,9,16,2,5,5,1,65%,35%,92%,81%,3,1,14,18
1208115,1.0,1.55,4,6,6,2,14,20,2,6,4,1,42%,58%,77%,80%,0,0,11,10
1208119,2.17,0.13,10,6,1,4,19,4,6,2,1,3,53%,47%,85%,79%,1,1,7,9
1208122,1.53,2.51,3,6,1,2,11,19,6,7,4,4,57%,43%,80%,76%,4,1,7,9
1208121,2.44,1.86,6,4,2,0,16,12,6,1,1,2,51%,49%,89%,84%,0,0,14,14
1208117,1.98,1.1,4,8,6,2,11,12,4,3,2,3,46%,54%,80%,84%,4,0,19,14
1208114,1.37,0.59,11,3,2,1,26,5,12,2,1,10,68%,32%,88%,70%,2,0,3,10
1208132,1.26,0.66,1,9,1,4,8,9,4,0,0,2,29%,71%,77%,90%,3,0,14,12
1208131,0.83,1.11,7,6,1,2,11,18,6,4,4,6,49%,51%,78%,76%,1,1,10,9
1208126,1.52,1.83,1,8,1,1,13,17,5,7,5,4,36%,64%,77%,85%,1,4,10,11
1208123,1.48,2.61,6,4,2,4,12,15,6,3,1,3,52%,48%,76%,75%,0,1,8,16
1208124,2.29,2.22,0,4,3,3,10,15,4,6,5,2,40%,60%,87%,90%,3,1,12,10
1208127,2.02,1.38,2,9,0,3,14,12,5,2,2,3,62%,38%,88%,82%,1,1,11,15
1208128,0.76,0.63,1,5,0,1,13,6,3,5,5,1,51%,49%,85%,83%,1,2,9,5
1208130,1.55,1.62,12,2,1,5,17,8,5,3,1,5,66%,34%,84%,68%,0,0,10,19
1208129,0.63,1.7,4,5,1,1,9,17,3,6,3,2,44%,56%,78%,86%,3,0,13,6
1208125,1.54,1.55,4,3,4,2,17,13,3,3,2,2,49%,51%,85%,88%,1,7,12,12
1208139,1.11,2.75,2,9,4,3,4,16,1,7,4,0,37%,63%,75%,87%,3,1,15,12
1208133,1.63,0.94,7,0,2,4,19,6,5,4,2,4,55%,45%,87%,81%,5,1,13,10
1208137,1.03,1.32,7,2,3,0,10,10,3,5,1,2,59%,41%,85%,83%,2,1,14,14
1208134,1.19,0.33,8,1,3,2,19,7,7,0,0,3,66%,34%,91%,81%,4,2,10,11
1208136,1.2,1.1,10,4,0,0,27,9,5,2,2,5,59%,41%,87%,79%,3,3,8,10
1208135,3.11,1.26,10,1,3,2,17,13,5,6,4,3,70%,30%,86%,69%,1,2,10,11
1208140,2.14,2.51,9,3,4,2,23,9,5,7,3,5,58%,42%,92%,84%,2,3,19,9
1208142,1.28,3.15,3,10,3,4,7,27,5,11,8,3,38%,62%,83%,89%,0,1,11,9
1208138,1.59,0.8,4,3,0,0,11,11,6,4,3,5,40%,60%,82%,88%,0,1,11,10
1208141,1.64,0.81,8,3,1,0,18,15,2,6,4,2,53%,47%,85%,82%,1,0,11,8
1208144,1.68,1.01,7,6,2,4,22,10,5,2,1,4,52%,48%,90%,87%,3,1,20,16
1208152,0.46,3.29,3,4,5,1,10,12,3,8,4,1,60%,40%,85%,77%,2,1,13,11
1208146,1.76,0.04,8,9,3,3,16,1,4,0,0,2,49%,51%,80%,81%,2,2,12,11
1208143,2.4,1.06,5,4,1,1,13,7,6,3,2,2,60%,40%,85%,76%,1,1,9,10
1208149,1.68,0.59,8,7,1,3,12,7,5,3,2,4,45%,55%,77%,79%,3,1,5,16
1208151,1.54,3.6,2,10,4,1,12,16,5,7,2,3,40%,60%,78%,84%,1,1,10,13
1208148,1.07,0.58,2,2,2,3,11,8,5,2,2,1,60%,40%,90%,86%,3,2,12,12
1208150,0.78,1.58,7,11,0,1,8,14,3,6,5,2,51%,49%,87%,84%,1,1,4,14
1208145,1.69,1.23,3,4,2,2,17,10,8,4,3,5,64%,36%,90%,84%,3,1,21,6
1208147,3.57,0.84,7,4,1,3,18,8,7,2,3,5,44%,56%,84%,88%,4,3,9,8
1208158,0.49,1.64,4,7,2,4,9,13,2,3,2,2,54%,46%,83%,80%,1,1,14,13
1208159,1.35,3.09,3,9,2,2,8,31,6,10,7,3,39%,61%,75%,86%,1,2,9,7
1208161,2.09,1.99,5,6,2,5,17,16,6,5,2,3,41%,59%,79%,88%,4,0,9,17
1208162,1.56,5.43,5,7,1,0,6,26,4,13,6,3,45%,55%,89%,92%,3,1,7,14
1208156,1.02,0.78,3,4,2,0,13,6,4,2,2,2,44%,56%,80%,80%,4,0,10,8
1208160,2.41,0.88,8,2,2,4,17,12,7,3,3,3,66%,34%,89%,79%,1,2,7,15
1208154,2.16,0.22,13,0,1,3,14,5,6,2,2,4,50%,50%,87%,87%,2,2,12,8
1208155,2.43,1.03,10,5,2,2,20,9,10,1,0,7,49%,51%,86%,85%,0,1,11,15
1208157,0.65,1.47,5,6,2,2,6,13,2,3,2,0,43%,57%,81%,88%,0,1,7,8
1208153,3.71,0.87,5,9,2,2,21,12,8,4,4,7,35%,65%,70%,82%,3,3,15,8
1208165,1.34,1.45,6,8,1,2,12,12,3,4,2,1,32%,68%,77%,88%,3,2,4,10
1208164,1.23,1.48,3,4,3,0,11,16,8,3,2,4,44%,56%,80%,86%,3,2,10,7
1208163,2.29,0.33,14,1,1,3,18,4,5,0,0,3,47%,53%,86%,89%,0,4,18,15
1208170,1.6,0.83,5,3,0,2,17,11,7,3,0,5,71%,29%,88%,65%,0,1,10,13
1208167,0.16,2.03,0,6,4,2,2,12,2,4,3,1,34%,66%,72%,89%,0,3,10,9
1208169,1.31,1.54,4,5,1,2,10,16,3,7,5,1,55%,45%,84%,85%,1,0,9,10
1208168,1.32,3.28,6,13,2,1,18,22,5,6,4,4,43%,57%,74%,81%,0,0,9,13
1208171,2.9,2.83,5,10,2,3,13,17,5,8,4,2,39%,61%,83%,86%,3,2,17,11
1208172,0.95,1.47,11,0,5,4,19,19,4,5,4,2,54%,46%,81%,77%,4,1,12,17
1208179,3.79,0.19,5,2,3,3,27,4,11,1,1,7,59%,41%,87%,78%,0,2,7,16
1208182,1.27,1.2,7,3,2,2,16,10,6,5,2,5,54%,46%,84%,83%,2,4,13,9
1208177,2.13,1.22,5,4,3,4,16,12,4,3,1,2,61%,39%,89%,82%,2,2,10,7
1208174,1.22,0.09,8,2,0,3,13,2,5,0,0,5,77%,23%,92%,71%,5,3,6,9
1208180,1.78,0.42,4,3,0,1,17,8,6,2,1,4,50%,50%,91%,88%,2,2,12,6
1208175,1.0,2.31,8,5,1,4,17,13,5,5,2,5,65%,35%,88%,74%,1,1,11,15
1208178,0.95,2.08,8,2,1,1,10,10,3,3,1,2,52%,48%,87%,88%,0,6,5,14
1208181,0.84,2.44,2,5,1,3,9,18,3,9,4,4,42%,58%,87%,91%,2,0,8,15
1208176,2.23,1.61,8,5,2,2,26,9,8,4,3,6,62%,38%,86%,76%,1,3,11,7
1208173,2.01,2.06,12,6,0,2,29,16,9,3,2,8,51%,49%,76%,73%,1,1,6,11
1208183,1.67,1.03,5,4,3,3,11,12,6,6,5,4,44%,56%,86%,92%,3,0,14,7
1208192,1.31,0.94,8,4,2,2,11,12,4,6,5,3,46%,54%,76%,85%,5,1,14,20
1208184,0.72,0.9,9,5,3,4,7,10,3,6,4,3,64%,36%,85%,78%,1,3,10,14
